constructorResultados,corrida_Id,constructor_Id,pontos
393,54,3,0
394,55,4,14
395,55,1,8
396,55,7,6
397,55,2,8
398,55,11,2
399,55,9,1
400,55,5,0
401,55,13,0
402,55,8,0
403,55,6,0
404,55,3,0
405,56,6,15
406,56,4,9
407,56,1,10
408,56,3,3
409,56,11,2
410,56,7,0
411,56,2,0
412,56,5,0
413,56,13,0
414,56,9,0
415,56,8,0
416,57,6,16
417,57,4,11
418,57,1,5
419,57,11,4
420,57,3,2
421,57,2,1
422,57,7,0
423,57,5,0
424,57,13,0
425,57,8,0
426,57,9,0
427,58,4,16
428,58,6,13
429,58,1,4
430,58,11,5
431,58,2,1
432,58,3,0
433,58,7,0
434,58,9,0
435,58,5,0
436,58,13,0
437,58,8,0
438,59,4,13
439,59,1,8
440,59,9,6
441,59,11,5
442,59,6,4
443,59,2,2
444,59,7,1
445,59,5,0
446,59,13,0
447,59,8,0
448,59,3,0
449,60,4,15
450,60,6,12
451,60,1,9
452,60,2,3
453,60,3,0
454,60,11,0
455,60,7,0
456,60,9,0
457,60,5,0
458,60,13,0
459,60,8,0
460,61,4,15
461,61,6,12
462,61,1,6
463,61,7,3
464,61,2,2
465,61,9,1
466,61,11,0
467,61,5,0
468,61,3,0
469,61,13,0
470,61,8,0
471,62,6,18
472,62,4,10
473,62,7,5
474,62,11,3
475,62,9,2
476,62,5,1
477,62,3,0
478,62,13,0
479,62,2,0
480,62,8,0
481,62,1,0
482,63,6,16
483,63,4,11
484,63,7,5
485,63,1,6
486,63,2,1
487,63,9,0
488,63,5,0
489,63,3,0
490,63,13,0
491,63,8,0
492,63,11,0
493,64,6,18
494,64,1,6
495,64,11,5
496,64,4,7
497,64,7,2
498,64,9,1
499,64,5,0
500,64,3,0
501,64,8,0
502,64,2,0
503,64,13,0
504,65,11,15
505,65,1,8
506,65,2,6
507,65,9,4
508,65,7,3
509,65,6,3
510,65,13,0
511,65,5,0
512,65,8,0
513,65,4,0
514,65,3,0
515,66,6,16
516,66,4,11
517,66,11,6
518,66,1,4
519,66,7,2
520,66,3,0
521,66,9,0
522,66,2,0
523,66,5,0
524,66,13,0
525,66,8,0
526,67,6,10
527,67,1,8
528,67,2,7
529,67,4,5
530,67,11,7
531,67,7,2
532,67,3,0
533,67,9,0
534,67,5,0
535,67,8,0
536,67,14,0
537,68,6,10
538,68,4,14
539,68,11,8
540,68,1,4
541,68,2,2
542,68,3,1
543,68,9,0
544,68,5,0
545,68,14,0
546,68,8,0
547,68,7,0
548,69,4,16
549,69,6,8
550,69,11,5
551,69,1,4
552,69,7,5
553,69,2,1
554,69,3,0
555,69,9,0
556,69,5,0
557,69,8,0
558,69,14,0
559,70,6,15
560,70,4,11
561,70,11,8
562,70,1,5
563,70,2,0
564,70,8,0
565,70,5,0
566,70,9,0
567,70,14,0
568,70,7,0
569,70,3,0
570,71,4,16
571,71,6,8
572,71,9,7
573,71,3,4
574,71,1,4
575,71,7,0
576,71,15,0
577,71,16,0
578,71,17,0
579,71,18,0
580,72,4,10
581,72,7,12
582,72,3,6
583,72,1,5
584,72,9,4
585,72,6,2
586,72,15,0
587,72,17,0
588,72,18,0
589,72,16,0
590,73,4,10
591,73,7,13
592,73,1,10
593,73,3,3
594,73,15,2
595,73,9,1
596,73,6,0
597,73,17,0
598,73,18,0
599,73,16,0
600,74,4,10
601,74,6,8
602,74,1,6
603,74,15,5
604,74,7,4
605,74,3,5
606,74,9,1
607,74,17,0
608,74,18,0
609,74,16,0
610,75,1,12
611,75,4,12
612,75,7,11
613,75,3,3
614,75,9,1
615,75,6,0
616,75,15,0
617,75,17,0
618,75,18,0
619,76,1,14
620,76,3,14
621,76,4,5
622,76,7,3
623,76,6,3
624,76,15,0
625,76,17,0
626,76,18,0
627,76,9,0
628,77,4,13
629,77,3,8
630,77,6,10
631,77,9,5
632,77,1,2
633,77,7,1
634,77,16,0
635,77,15,0
636,77,17,0
637,77,18,0
638,78,1,10
639,78,6,14
640,78,15,5
641,78,3,4
642,78,7,3
643,78,9,3
644,78,17,0
645,78,18,0
646,78,16,0
647,78,4,0
648,79,6,18
649,79,17,11
650,79,18,7
651,79,7,0
652,79,1,0
653,79,16,0
654,79,4,0
655,79,3,0
656,79,15,0
657,79,9,0
658,80,4,13
659,80,1,8
660,80,6,6
661,80,16,5
662,80,7,6
663,80,15,1
664,80,9,0
665,80,3,0
666,80,17,0
667,80,18,0
668,81,1,16
669,81,4,13
670,81,16,4
671,81,6,5
672,81,7,1
673,81,15,0
674,81,3,0
675,81,9,0
676,81,17,0
677,81,18,0
678,82,4,15
679,82,1,8
680,82,16,6
681,82,6,4
682,82,7,3
683,82,9,2
684,82,15,1
685,82,3,0
686,82,18,0
687,82,17,0
688,83,1,10
689,83,6,8
690,83,7,11
691,83,16,5
692,83,3,5
693,83,4,0
694,83,17,0
695,83,15,0
696,83,18,0
697,83,9,0
698,84,1,16
699,84,4,13
700,84,16,4
701,84,7,3
702,84,9,3
703,84,6,0
704,84,15,0
705,84,18,0
706,84,17,0
707,84,3,0
708,85,1,15
709,85,4,14
710,85,7,7
711,85,3,2
712,85,16,1
713,85,15,0
714,85,6,0
715,85,9,0
716,85,17,0
717,85,18,0
718,86,1,10
719,86,4,8
720,86,16,6
721,86,3,5
722,86,6,4
723,86,15,3
724,86,7,2
725,86,17,1
726,86,9,0
727,86,18,0
728,87,1,18
729,87,4,10
730,87,6,8
731,87,16,2
732,87,7,1
733,87,9,0
734,87,15,0
735,87,18,0
736,87,17,0
737,87,3,0
738,88,1,10
739,88,4,14
740,88,3,5
741,88,16,4
742,88,9,3
743,88,6,2
744,88,7,1
745,88,15,0
746,88,17,0
747,88,18,0
748,89,4,15
749,89,1,8
750,89,7,6
751,89,9,4
752,89,15,3
753,89,3,2
754,89,16,1
755,89,17,0
756,89,6,0
757,89,18,0
758,90,6,18
759,90,4,8
760,90,3,9
761,90,16,3
762,90,1,1
763,90,15,0
764,90,19,0
765,90,7,0
766,90,17,0
767,90,18,0
768,91,6,15
769,91,3,8
770,91,16,6
771,91,4,6
772,91,1,3
773,91,15,1
774,91,7,0
775,91,19,0
776,91,17,0
777,91,18,0
778,92,6,18
779,92,16,10
780,92,4,8
781,92,3,2
782,92,19,1
783,92,7,0
784,92,15,0
785,92,17,0
786,92,18,0
787,92,1,0
788,93,6,13
789,93,16,8
790,93,3,8
791,93,4,9
792,93,1,1
793,93,15,0
794,93,7,0
795,93,19,0
796,93,18,0
797,93,17,0
798,94,6,18
799,94,4,11
800,94,16,5
801,94,3,3
802,94,15,2
803,94,1,0
804,94,19,0
805,94,7,0
806,94,17,0
807,94,18,0
808,95,4,10
809,95,16,8
810,95,6,6
811,95,3,5
812,95,15,4
813,95,7,4
814,95,17,2
815,95,18,0
816,95,1,0
817,95,19,0
818,96,6,18
819,96,16,6
820,96,4,9
821,96,15,3
822,96,19,2
823,96,3,1
824,96,17,0
825,96,7,0
826,96,18,0
827,96,1,0
828,97,6,18
829,97,16,6
830,97,15,5
831,97,1,7
832,97,17,3
833,97,19,0
834,97,18,0
835,97,4,0
836,97,3,0
837,97,7,0
838,98,6,18
839,98,16,6
840,98,4,5
841,98,7,4
842,98,1,5
843,98,18,1
844,98,15,0
845,98,19,0
846,98,3,0
847,98,17,0
848,99,6,16
849,99,4,13
850,99,16,4
851,99,1,5
852,99,3,1
853,99,19,0
854,99,15,0
855,99,7,0
856,99,17,0
857,99,18,0
858,100,6,16
859,100,1,10
860,100,16,5
861,100,3,4
862,100,15,3
863,100,19,1
864,100,4,0
865,100,7,0
866,100,17,0
867,100,18,0
868,101,6,10
869,101,16,9
870,101,4,6
871,101,1,5
872,101,3,6
873,101,19,3
874,101,15,0
875,101,7,0
876,101,17,0
877,101,18,0
878,102,6,18
879,102,4,6
880,102,3,7
881,102,16,7
882,102,15,1
883,102,1,0
884,102,19,0
885,102,7,0
886,102,17,0
887,102,18,0
888,103,1,12
889,103,6,14
890,103,15,9
891,103,19,3
892,103,7,1
893,103,4,0
894,103,17,0
895,103,3,0
896,103,16,0
897,103,18,0
898,104,6,18
899,104,16,11
900,104,3,6
901,104,1,3
902,104,15,1
903,104,19,0
904,104,4,0
905,104,7,0
906,104,17,0
907,104,18,0
908,105,6,10
909,105,16,11
910,105,1,6
911,105,4,5
912,105,3,4
913,105,15,3
914,105,19,0
915,105,17,0
916,105,7,0
917,105,18,0
918,106,6,10
919,106,3,10
920,106,16,11
921,106,4,4
922,106,1,3
923,106,15,1
924,106,7,0
925,106,19,0
926,106,17,0
927,106,18,0
928,107,3,14
929,107,1,8
930,107,6,8
931,107,4,5
932,107,16,3
933,107,15,1
934,107,7,0
935,107,19,0
936,107,17,0
937,107,18,0
938,108,1,16
939,108,3,9
940,108,6,5
941,108,4,6
942,108,15,3
943,108,16,0
944,108,18,0
945,108,17,0
946,108,19,0
947,108,7,0
948,109,1,10
949,109,6,11
950,109,4,10
951,109,3,5
952,109,16,2
953,109,15,1
954,109,17,0
955,109,7,0
956,109,18,0
957,109,19,0
958,110,17,10
959,110,1,13
960,110,4,7
961,110,15,4
962,110,16,3
963,110,3,2
964,110,19,0
965,110,7,0
966,110,6,0
967,110,18,0
968,111,6,16
969,111,1,12
970,111,3,7
971,111,4,3
972,111,16,1
973,111,7,0
974,111,15,0
975,111,19,0
976,111,17,0
977,111,18,0
978,112,6,16
979,112,4,8
980,112,3,9
981,112,7,3
982,112,19,2
983,112,17,1
984,112,16,0
985,112,15,0
986,112,18,0
987,112,1,0
988,113,6,16
989,113,1,12
990,113,16,5
991,113,3,3
992,113,19,2
993,113,4,1
994,113,7,0
995,113,17,0
996,113,18,0
997,113,15,0
998,114,3,15
999,114,1,10
1000,114,6,7
1001,114,4,7
1002,114,7,0
1003,114,17,0
1004,114,15,0
1005,114,16,0
1006,114,18,0
1007,114,19,0
1008,115,6,14
1009,115,3,14
1010,115,4,5
1011,115,1,3
1012,115,19,2
1013,115,7,1
1014,115,18,0
1015,115,16,0
1016,115,15,0
1017,115,17,0
1018,116,3,18
1019,116,6,10
1020,116,4,5
1021,116,19,3
1022,116,16,2
1023,116,15,1
1024,116,17,0
1025,116,18,0
1026,116,1,0
1027,116,7,0
1028,117,3,18
1029,117,6,8
1030,117,1,9
1031,117,19,3
1032,117,7,1
1033,117,16,0
1034,117,15,0
1035,117,18,0
1036,117,17,0
1037,117,4,0
1038,118,6,15
1039,118,3,8
1040,118,1,10
1041,118,4,3
1042,118,7,2
1043,118,16,1
1044,118,15,0
1045,118,17,0
1046,118,19,0
1047,118,18,0
1048,119,3,10
1049,119,1,8
1050,119,4,11
1051,119,7,7
1052,119,6,2
1053,119,16,1
1054,119,15,0
1055,119,19,0
1056,119,18,0
1057,119,17,0
1058,120,4,12
1059,120,1,12
1060,120,3,11
1061,120,19,3
1062,120,6,1
1063,120,15,0
1064,120,16,0
1065,120,7,0
1066,120,18,0
1067,120,17,0
1068,121,6,16
1069,121,3,12
1070,121,1,5
1071,121,16,3
1072,121,19,2
1073,121,4,1
1074,121,15,0
1075,121,17,0
1076,121,18,0
1077,121,7,0
1078,122,6,10
1079,122,1,8
1080,122,15,10
1081,122,4,5
1082,122,3,3
1083,122,17,2
1084,122,19,1
1085,122,7,0
1086,122,18,0
1087,122,16,0
1088,123,6,11
1089,123,1,14
1090,123,16,8
1091,123,4,4
1092,123,7,2
1093,123,15,0
1094,123,19,0
1095,123,3,0
1096,123,17,0
1097,123,18,0
1098,124,6,10
1099,124,3,6
1100,124,1,4
1101,124,19,3
1102,124,18,2
1103,124,7,1
1104,124,16,0
1105,124,21,0
1106,124,17,0
1107,124,4,0
1108,124,15,0
1109,125,3,16
1110,125,6,4
1111,125,4,3
1112,125,15,3
1113,125,7,0
1114,125,16,0
1115,125,17,0
1116,125,19,0
1117,125,21,0
1118,125,18,0
1119,125,1,0
1120,126,6,10
1121,126,3,8
1122,126,1,4
1123,126,4,3
1124,126,7,1
1125,126,19,0
1126,126,17,0
1127,126,16,0
1128,126,18,0
1129,126,15,0
1130,126,21,0
1131,127,6,16
1132,127,3,7
1133,127,4,2
1134,127,1,1
1135,127,16,0
1136,127,15,0
1137,127,18,0
1138,127,21,0
1139,127,19,0
1140,127,7,0
1141,127,17,0
1142,128,6,10
1143,128,3,6
1144,128,1,4
1145,128,15,5
1146,128,21,1
1147,128,16,0
1148,128,7,0
1149,128,4,0
1150,128,19,0
1151,128,17,0
1152,128,18,0
1153,129,6,16
1154,129,3,7
1155,129,17,2
1156,129,1,1
1157,129,4,0
1158,129,7,0
1159,129,16,0
1160,129,21,0
1161,129,18,0
1162,129,19,0
1163,129,15,0
1164,130,1,10
1165,130,6,6
1166,130,3,4
1167,130,4,3
1168,130,17,2
1169,130,21,1
1170,130,15,0
1171,130,19,0
1172,130,18,0
1173,130,7,0
1174,130,16,0
1175,131,6,14
1176,131,1,9
1177,131,17,2
1178,131,4,1
1179,131,3,0
1180,131,16,0
1181,131,15,0
1182,131,18,0
1183,131,21,0
1184,131,7,0
1185,131,19,0
1186,132,6,16
1187,132,1,4
1188,132,3,3
1189,132,4,2
1190,132,15,1
1191,132,16,0
1192,132,19,0
1193,132,21,0
1194,132,7,0
1195,132,18,0
1196,132,17,0
1197,133,6,16
1198,133,3,4
1199,133,16,5
1200,133,15,1
1201,133,17,0
1202,133,1,0
1203,133,19,0
1204,133,4,0
1205,133,21,0
1206,133,7,0
1207,133,18,0
1208,134,6,10
1209,134,1,10
1210,134,3,5
1211,134,4,1
1212,134,15,0
1213,134,18,0
1214,134,19,0
1215,134,7,0
1216,134,16,0
1217,134,17,0
1218,134,21,0
1219,135,6,13
1220,135,3,10
1221,135,1,2
1222,135,15,1
1223,135,17,0
1224,135,7,0
1225,135,19,0
1226,135,21,0
1227,135,16,0
1228,135,4,0
1229,135,18,0
1230,136,6,16
1231,136,3,4
1232,136,1,5
1233,136,17,1
1234,136,15,0
1235,136,4,0
1236,136,16,0
1237,136,19,0
1238,136,7,0
1239,136,18,0
1240,137,6,16
1241,137,3,6
1242,137,1,3
1243,137,19,1
1244,137,7,0
1245,137,16,0
1246,137,15,0
1247,137,17,0
1248,137,4,0
1249,137,18,0
1250,138,6,16
1251,138,19,4
1252,138,4,5
1253,138,16,1
1254,138,1,0
1255,138,17,0
1256,138,15,0
1257,138,7,0
1258,138,18,0
1259,138,3,0
1260,139,6,16
1261,139,1,4
1262,139,3,3
1263,139,4,2
1264,139,16,1
1265,139,17,0
1266,139,15,0
1267,139,19,0
1268,139,7,0
1269,139,18,0
1270,140,6,16
1271,140,1,4
1272,140,3,3
1273,140,17,2
1274,140,4,1
1275,140,15,0
1276,140,7,0
1277,140,19,0
1278,140,18,0
1279,140,16,0
1280,141,6,14
1281,141,1,6
1282,141,15,4
1283,141,17,2
1284,141,16,0
1285,141,19,0
1286,141,20,0
1287,141,21,0
1288,141,18,0
1289,141,22,0
1290,141,3,0
1291,142,6,16
1292,142,1,5
1293,142,17,3
1294,142,3,2
1295,142,21,0
1296,142,20,0
1297,142,19,0
1298,142,22,0
1299,142,18,0
1300,142,16,0
1301,142,15,0
1302,143,1,10
1303,143,6,6
1304,143,15,4
1305,143,16,3
1306,143,17,2
1307,143,22,1
1308,143,20,0
1309,143,18,0
1310,143,3,0
1311,143,19,0
1312,143,21,0
1313,144,3,10
1314,144,1,9
1315,144,6,4
1316,144,17,3
1317,144,15,0
1318,144,16,0
1319,144,20,0
1320,144,21,0
1321,144,19,0
1322,144,22,0
1323,144,18,0
1324,145,6,10
1325,145,3,6
1326,145,16,4
1327,145,17,3
1328,145,1,2
1329,145,15,1
1330,145,20,0
1331,145,21,0
1332,145,18,0
1333,145,22,0
1334,145,19,0
1335,146,1,10
1336,146,6,10
1337,146,15,3
1338,146,16,2
1339,146,21,1
1340,146,19,0
1341,146,20,0
1342,146,22,0
1343,146,3,0
1344,146,18,0
1345,146,17,0
1346,147,6,16
1347,147,19,4
1348,147,16,3
1349,147,1,2
1350,147,20,1
1351,147,22,0
1352,147,21,0
1353,147,15,0
1354,147,3,0
1355,147,18,0
1356,147,17,0
1357,148,3,10
1358,148,6,6
1359,148,1,4
1360,148,15,3
1361,148,20,2
1362,148,19,1
1363,148,17,0
1364,148,18,0
1365,148,21,0
1366,148,16,0
1367,148,22,0
1368,149,6,12
1369,149,3,9
1370,149,1,5
1371,149,19,0
1372,149,16,0
1373,149,15,0
1374,149,22,0
1375,149,20,0
1376,149,18,0
1377,149,21,0
1378,149,17,0
1379,150,6,14
1380,150,3,6
1381,150,1,3
1382,150,17,2
1383,150,15,1
1384,150,16,0
1385,150,20,0
1386,150,22,0
1387,150,21,0
1388,150,19,0
1389,150,18,0
1390,151,1,10
1391,151,6,10
1392,151,3,3
1393,151,15,3
1394,151,17,0
1395,151,16,0
1396,151,19,0
1397,151,21,0
1398,151,20,0
1399,151,22,0
1400,151,18,0
1401,152,3,10
1402,152,6,6
1403,152,16,4
1404,152,22,5
1405,152,20,1
1406,152,21,0
1407,152,18,0
1408,152,17,0
1409,152,1,0
1410,152,15,0
1411,152,19,0
1412,153,6,16
1413,153,1,6
1414,153,3,3
1415,153,15,1
1416,153,16,0
1417,153,17,0
1418,153,19,0
1419,153,21,0
1420,153,22,0
1421,153,20,0
1422,153,18,0
1423,154,6,12
1424,154,1,9
1425,154,22,4
1426,154,17,1
1427,154,3,0
1428,154,16,0
1429,154,20,0
1430,154,21,0
1431,154,18,0
1432,154,19,0
1433,154,15,0
1434,155,3,14
1435,155,6,9
1436,155,19,2
1437,155,16,1
1438,155,15,0
1439,155,17,0
1440,155,22,0
1441,155,20,0
1442,155,18,0
1443,155,21,0
1444,155,1,0
1445,156,1,14
1446,156,6,6
1447,156,17,3
1448,156,19,2
1449,156,15,1
1450,156,22,0
1451,156,20,0
1452,156,16,0
1453,156,21,0
1454,156,3,0
1455,156,18,0
1456,157,6,12
1457,157,3,7
1458,157,1,7
1459,157,22,0
1460,157,17,0
1461,157,15,0
1462,157,16,0
1463,157,18,0
1464,157,20,0
1465,157,21,0
1466,157,19,0
1467,158,6,16
1468,158,3,4
1469,158,16,4
1470,158,22,2
1471,158,18,0
1472,158,20,0
1473,158,15,0
1474,158,17,0
1475,158,1,0
1476,158,21,0
1477,158,19,0
1478,159,6,10
1479,159,22,6
1480,159,17,7
1481,159,3,3
1482,159,21,0
1483,159,16,0
1484,159,18,0
1485,159,1,0
1486,159,19,0
1487,159,20,0
1488,159,15,0
1489,160,6,13
1490,160,1,10
1491,160,16,2
1492,160,15,1
1493,160,19,0
1494,160,22,0
1495,160,18,0
1496,160,21,0
1497,160,17,0
1498,160,3,0
1499,160,20,0
1500,161,1,16
1501,161,6,4
1502,161,3,5
1503,161,17,1
1504,161,22,0
1505,161,15,0
1506,161,20,0
1507,161,19,0
1508,161,18,0
1509,161,16,0
1510,161,21,0
1511,162,1,16
1512,162,6,6
1513,162,3,3
1514,162,17,1
1515,162,15,0
1516,162,16,0
1517,162,22,0
1518,162,19,0
1519,162,18,0
1520,162,20,0
1521,162,21,0
1522,163,6,13
1523,163,1,10
1524,163,22,2
1525,163,21,1
1526,163,15,0
1527,163,18,0
1528,163,20,0
1529,163,3,0
1530,163,19,0
1531,163,16,0
1532,163,17,0
1533,164,1,11
1534,164,6,6
1535,164,22,4
1536,164,19,3
1537,164,15,2
1538,164,16,0
1539,164,20,0
1540,164,17,0
1541,164,21,0
1542,164,3,0
1543,164,18,0
1544,165,6,16
1545,165,22,4
1546,165,1,3
1547,165,21,2
1548,165,17,1
1549,165,16,0
1550,165,15,0
1551,165,3,0
1552,165,18,0
1553,165,19,0
1554,165,20,0
1555,166,1,16
1556,166,6,4
1557,166,16,3
1558,166,3,2
1559,166,17,1
1560,166,22,0
1561,166,15,0
1562,166,20,0
1563,166,19,0
1564,166,18,0
1565,166,21,0
1566,167,1,16
1567,167,6,4
1568,167,16,3
1569,167,3,2
1570,167,15,1
1571,167,19,0
1572,167,18,0
1573,167,22,0
1574,167,20,0
1575,167,21,0
1576,167,17,0
1577,168,6,10
1578,168,1,10
1579,168,3,3
1580,168,15,2
1581,168,21,1
1582,168,16,0
1583,168,17,0
1584,168,19,0
1585,168,18,0
1586,168,20,0
1587,168,22,0
1588,169,1,14
1589,169,6,9
1590,169,3,2
1591,169,17,1
1592,169,19,0
1593,169,15,0
1594,169,22,0
1595,169,16,0
1596,169,21,0
1597,169,18,0
1598,169,20,0
1599,170,1,13
1600,170,6,6
1601,170,3,6
1602,170,17,1
1603,170,16,0
1604,170,19,0
1605,170,15,0
1606,170,22,0
1607,170,18,0
1608,170,21,0
1609,170,20,0
1610,171,6,10
1611,171,1,6
1612,171,3,4
1613,171,21,3
1614,171,22,2
1615,171,16,1
1616,171,15,0
1617,171,18,0
1618,171,20,0
1619,171,19,0
1620,171,17,0
1621,172,6,16
1622,172,17,4
1623,172,16,4
1624,172,1,2
1625,172,19,0
1626,172,15,0
1627,172,20,0
1628,172,22,0
1629,172,18,0
1630,172,3,0
1631,172,21,0
1632,173,6,13
1633,173,1,10
1634,173,3,2
1635,173,16,1
1636,173,19,0
1637,173,15,0
1638,173,21,0
1639,173,17,0
1640,173,22,0
1641,173,18,0
1642,173,20,0
1643,174,6,14
1644,174,1,9
1645,174,16,2
1646,174,19,1
1647,174,22,0
1648,174,15,0
1649,174,21,0
1650,174,20,0
1651,174,17,0
1652,174,18,0
1653,174,3,0
1654,175,6,10
1655,175,17,6
1656,175,3,4
1657,175,22,3
1658,175,24,2
1659,175,21,1
1660,175,16,0
1661,175,18,0
